,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
9254,81531,57,0,1,2,53236,7,1,1990,0,0,6192,9969,736,1,2,8158198.0
1561,78731,88,0,0,79,78649,7,6,1991,1,1,5914,6048,742,0,3,7878473.1
1670,78004,71,1,1,96,39708,10,10,1990,1,1,4527,2138,329,1,6,7816750.0
6087,15727,25,1,0,55,17489,1,7,2007,0,1,8350,1546,859,1,8,1577602.7
6669,3190,59,0,0,95,35955,6,6,2004,1,1,9709,6168,338,0,5,322180.4
5933,28605,2,0,1,25,63712,7,6,2003,1,1,1624,1800,492,0,1,2866459.3
8829,96815,44,1,1,59,27363,5,3,1994,0,0,8231,9548,769,1,8,9693106.4
7945,20795,47,0,1,74,19055,10,7,2000,0,0,4179,198,945,1,6,2086273.0
3508,82395,4,1,1,22,9393,4,5,2017,1,1,561,1725,474,0,3,8246501.7
2002,34668,69,1,1,12,17366,8,7,2002,0,1,3476,7549,503,1,7,3475230.2
5866,14137,68,1,1,50,38652,8,7,2021,0,0,9290,3294,189,0,6,1425174.1
168,41488,22,0,0,59,2019,9,1,2013,0,1,2090,4438,650,0,3,4151539.3
2588,93803,75,0,1,38,49087,1,10,2000,1,1,2369,9692,214,1,4,9387508.0
5905,14011,99,0,1,59,34664,6,2,2002,0,1,9027,4732,585,1,1,1408285.2
9529,77337,32,0,0,68,86551,2,4,1991,0,0,6260,6902,287,0,2,7739167.1
6384,27612,18,1,1,29,76879,3,4,2019,1,0,9956,9457,753,0,8,2770163.9
7824,6459,52,1,0,61,2621,6,2,1996,0,1,5048,2439,635,0,0,652739.6
9779,29835,17,0,1,97,8909,9,5,1995,1,1,9892,2768,431,1,2,2995285.5
4629,90777,78,0,0,8,11891,10,5,2009,0,1,5120,5209,744,0,6,9079088.9
8560,73838,68,1,1,63,52507,6,9,2009,1,1,2945,4176,899,1,2,7396303.9
9291,65273,91,0,1,29,78580,10,9,2019,0,0,4089,6156,937,0,8,6533559.9
6874,20375,37,1,0,4,66271,4,2,2017,0,1,8866,9527,963,0,2,2042174.7
6521,5849,39,0,0,43,7619,4,8,2009,1,0,7993,2585,672,0,5,588467.9
8979,8300,93,0,1,72,25524,6,1,2005,1,0,2740,5630,453,1,10,837253.5
6647,70380,17,0,1,49,15061,2,5,2006,1,1,9977,1502,178,0,7,7047022.6
9825,55485,70,1,0,14,93520,10,4,2013,1,0,8482,6766,906,0,2,5555218.3
210,15815,13,1,1,2,2179,7,1,2019,1,0,637,7880,552,0,4,1585031.9
5278,61152,84,1,0,34,98475,9,1,2007,0,1,8053,8240,884,1,7,6121942.7
1919,93734,17,1,1,62,29088,5,4,1999,0,1,2504,3891,325,0,2,9385146.9
718,84747,97,0,1,86,50495,7,7,2014,1,0,7441,7366,404,0,7,8483566.4
4868,32599,68,0,0,67,20244,5,6,2003,0,0,4964,4624,902,0,1,3265978.3
7834,14142,21,0,0,13,89808,7,3,2021,0,1,9113,6333,287,1,0,1415823.1
1298,96309,1,1,1,25,82647,2,6,2011,1,1,6790,7408,164,1,0,9638086.1
9193,59109,45,0,1,21,97310,6,5,1993,0,0,2002,5507,407,0,0,5914617.3
4617,76420,38,1,0,63,32005,5,8,2006,0,1,3164,6820,170,1,5,7649934.6
3128,11657,88,0,1,21,81560,1,5,2012,1,0,4859,4985,999,0,0,1170585.2
9795,24859,14,1,0,60,76623,3,4,2013,0,0,4836,7831,311,1,5,2492272.3
3979,38392,75,0,0,41,61255,6,3,1999,1,1,384,62,307,0,4,3840837.9
9924,66612,83,0,1,9,15197,10,8,2002,1,1,8084,9278,847,1,7,6664920.2
8317,17040,34,1,0,55,72842,9,1,2019,1,1,5811,7670,397,0,6,1709341.9
4393,54847,38,1,1,39,96819,4,4,2020,1,0,5929,2894,395,0,7,5493084.0
1287,21459,14,0,1,85,8301,1,6,2005,1,1,5520,7062,100,1,4,2156838.5
4355,59413,43,0,0,6,31513,7,4,1990,0,1,4602,4427,520,1,0,5942121.0
7013,34291,33,0,1,37,81990,6,5,1991,0,1,9105,9238,401,0,8,3434499.1
3885,26061,95,0,0,27,18445,1,3,1993,0,0,4049,6484,848,1,9,2608428.3
5749,28446,94,1,1,61,97470,7,4,2010,1,0,2439,8820,640,1,6,2852653.0
9169,39661,59,0,0,83,97719,1,9,2000,0,1,6114,6989,386,0,3,3974103.0
2407,76097,46,0,1,51,91317,5,3,2020,1,0,3337,7250,337,0,1,7616002.0
2013,17723,48,1,1,82,28332,2,2,2007,1,1,2154,471,631,0,5,1781409.7
5153,49588,36,0,0,75,8829,9,7,1998,1,1,9692,6974,301,0,9,4963749.8
8551,66592,21,1,0,92,6475,6,7,1996,0,0,484,5922,992,1,5,6666928.6
4376,21293,4,0,1,40,57682,2,5,2020,1,1,6717,6388,883,1,9,2138174.0
8822,21413,34,1,1,72,42530,8,6,2000,0,1,1799,2781,607,0,4,2154718.0
4273,84235,76,0,0,74,52582,2,9,2004,1,0,2634,5430,439,1,6,8431030.4
5825,52952,8,1,1,36,67728,7,6,2019,1,1,9731,4082,206,1,7,5303295.9
6699,67391,31,1,1,23,51903,4,10,1996,1,0,5136,5840,359,0,6,6749765.6
7243,2632,23,0,0,35,69077,3,8,1991,0,1,2238,8328,359,0,5,266129.1
449,15542,19,0,0,27,48610,8,7,1996,0,0,563,6368,615,0,5,1556824.6
2227,6547,93,0,0,20,70033,2,7,2021,0,0,719,1178,884,1,7,657002.1
5756,38765,16,0,1,56,58119,5,2,2003,1,0,8594,8440,398,0,10,3882491.3
810,95375,30,1,1,37,50519,9,1,1998,0,1,927,2844,534,1,9,9545994.8
4180,63871,13,1,0,91,27099,9,1,2005,0,0,6608,8973,752,0,10,6397636.5
9000,67761,81,1,1,5,71456,1,10,1997,0,0,9383,7649,569,1,2,6785841.7
5438,73136,77,1,0,88,95018,9,9,2006,1,1,1730,5017,967,0,4,7325694.6
7533,16842,29,1,0,49,20912,2,4,2007,1,1,4156,8647,458,1,1,1690854.7
6369,48926,17,0,1,52,25232,4,4,2010,0,0,8767,4956,766,0,4,4897709.0
8416,83088,22,0,0,64,39738,6,4,2004,0,1,2405,6251,457,1,7,8315132.4
1477,1344,64,0,0,56,35869,7,6,2020,0,0,3576,8147,404,1,6,140104.0
1790,39170,54,1,1,41,54522,7,10,2005,0,1,2427,8845,187,1,7,3926220.5
2008,49411,29,0,1,8,21931,10,3,2002,0,1,3249,3056,969,0,1,4944414.2
682,43412,3,1,1,68,42196,1,5,2010,1,1,911,3354,936,1,3,4352882.0
2816,14345,37,1,1,99,42634,4,10,1997,1,1,1617,4224,857,1,9,1445853.7
9431,88548,96,1,1,3,4531,6,1,1992,0,0,5585,3891,365,0,5,8861525.2
3774,31995,54,1,0,1,97018,1,7,1998,1,1,1527,7321,497,1,0,3203127.8
6495,54245,57,0,1,15,58253,2,1,2001,1,1,658,9034,167,0,8,5426769.1
8878,75340,98,1,1,27,30600,3,5,2018,0,0,4266,6327,387,1,7,7545012.8
7361,75524,67,0,0,56,94840,9,5,2019,1,1,4755,9152,356,0,5,7556587.9
8366,41926,8,1,0,89,22338,3,9,2015,0,1,2806,5989,102,1,5,4198279.5
7474,70990,77,1,1,51,30861,10,5,2008,0,1,423,6307,688,1,7,7107294.8
46,46988,66,1,1,27,4863,9,10,1991,1,1,8339,6331,874,1,4,4707341.1
30,25897,98,1,0,92,20344,2,4,1993,0,1,9799,9569,116,1,10,2598763.3
8250,39631,19,0,0,16,20762,1,4,1991,1,1,8386,7561,534,1,10,3964309.1
6935,88554,37,1,0,26,96016,3,6,2000,0,1,1261,6205,850,0,10,8859758.0
1468,31239,99,0,0,77,3081,5,8,1992,1,0,6178,4301,208,1,6,3130709.2
1665,56701,27,1,1,36,27612,4,1,2009,0,0,7864,6314,706,0,4,5679272.9
1416,17012,2,0,0,6,34231,10,4,1999,0,0,8324,4354,189,0,8,1702289.9
6480,98799,55,1,0,42,15155,6,5,2020,1,0,5468,9365,712,1,0,9887392.0
4852,27924,68,1,1,81,7907,8,2,1991,1,1,2068,4052,183,0,9,2805108.1
2470,13254,91,1,0,58,98839,2,1,2014,0,0,1937,8763,506,1,9,1333885.4
4373,78180,26,1,1,46,50817,7,5,1995,0,0,4079,5605,152,0,6,7828641.5
8524,83698,44,1,0,13,94020,3,9,1999,0,0,600,4130,489,0,1,8376076.9
429,66570,59,0,0,2,85412,7,10,2008,1,1,2628,7837,754,1,6,6657976.8
5244,61847,85,0,0,96,63056,8,9,2014,1,0,7804,9945,718,0,2,6190109.4
2119,80039,86,1,1,45,14020,4,6,1996,1,0,6447,4215,581,1,7,8009219.6
385,13972,39,0,0,8,91674,2,2,2009,0,0,1477,3153,952,1,2,1397748.9
1945,8493,12,0,1,71,6909,3,1,1990,0,0,2561,3618,758,1,3,856106.0
4224,18221,27,1,0,94,4317,7,4,2004,1,0,746,1218,335,0,1,1831310.4
473,77075,52,1,0,11,13884,10,10,2002,1,1,1768,9928,430,0,4,7713855.2
2129,96923,94,1,0,2,90110,4,3,2008,1,1,9683,7278,392,0,4,9694422.8
